Date,RANDWICK_SO2,PENRITH_SO2,RANDWICK_NO,PENRITH_NO,RANDWICK_NO2,PENRITH_NO2,RANDWICK_PM10,PENRITH_PM10,RANDWICK_PM2.5,PENRITH_PM2.5
26/12/2023,0.1,0,0,0.1,0.2,0.4,28.8,16.4,6.7,4.4
27/12/2023,0.1,0,0,0.1,0.4,0.6,14.4,14,4.5,4.8
28/12/2023,0.1,0,0.2,0.2,0.5,0.7,12.7,12.9,4.5,4.1
29/12/2023,0.1,0,0,0.2,0.6,0.6,17,12,5.5,4.5
30/12/2023,0,0,0,0,0.3,0.4,14.2,13.4,4.7,4.9
31/12/2023,0,0,0,0.1,0.1,0.3,22.7,18.6,7.8,6.7
1/01/2024,0.1,0,0,0.1,0.2,0.3,21.7,16.9,4.5,5.3
2/01/2024,0,0.1,0,0.2,0.1,0.3,23.3,17.5,5.3,6.5
3/01/2024,0,0.2,0,0.3,0.1,0.5,16.4,16.3,5.1,6.9
4/01/2024,0.1,0,,0.2,,0.5,20.2,17.6,6.4,5.7
5/01/2024,0,0,0,0.2,0.1,0.4,14.4,14.3,3.7,3.4
6/01/2024,0,0,0,0.1,0.1,0.3,16.9,15.6,4.6,3.9
7/01/2024,0.1,0.2,0,0.1,0.1,0.4,24.9,19.4,5.9,6.1
8/01/2024,0.1,0.1,0.1,0.2,0.4,0.6,19.6,15.4,4.7,5.1
9/01/2024,0,0,0,0.3,0.2,0.6,14.1,15.5,3.7,6.7
10/01/2024,0.1,0.1,0,0.1,0.1,0.3,18.6,17,5.3,6
11/01/2024,0,0,0,0.3,0.1,0.7,14.5,20.6,4.8,6.9
12/01/2024,0,0.1,0,0.1,0.1,0.3,16.7,12.9,4.5,4
13/01/2024,0.1,0.1,0,0.2,0.2,0.3,18.5,20.8,4.9,7.4
14/01/2024,0.1,0,0,0.1,0,0.2,22.3,15,6.7,5.2
15/01/2024,0,0.1,0,0.4,0,0.6,24.1,12.9,5.3,4.9
16/01/2024,0,,0,,0.1,,26.9,17.8,7,5.4
17/01/2024,0.1,,0.1,,0.3,,21.3,15.8,4.8,6
18/01/2024,0.1,0,0.2,0.2,0.7,0.4,17.9,5.7,4.7,1.3
19/01/2024,0,0,0.1,0.3,0.4,0.7,15,18.3,2.5,7.7
20/01/2024,0.1,0,0,0,0.1,0.3,21,20.9,5.6,5.8
21/01/2024,0.3,0,0.1,0.1,0.5,0.4,33.9,17.6,10.5,4.8
22/01/2024,0.1,0,0,0.1,0.1,0.4,23.9,28.1,7.6,10.2
23/01/2024,0,0,0,0.1,0.1,0.4,15,12.9,3.4,3.5
24/01/2024,0.4,0,0.1,0.3,0.5,0.7,26.6,20.8,6.9,5.3
25/01/2024,0.2,0,0.6,1.2,1.4,1.9,34,38,10.5,9.6
26/01/2024,0.1,0,0,0.1,0.4,0.6,22,27.5,8.9,9.1
27/01/2024,0,0,0,0.1,0.1,0.3,23.2,13.6,7.2,5.6
28/01/2024,0,0,0,0.1,0.2,0.3,20.6,15.6,7.1,6.3
29/01/2024,0.1,0,0.1,0.2,0.2,0.5,31.8,22.9,8.3,6
30/01/2024,0.1,0,0,0.4,0.2,0.8,27,20.9,7.4,7.3
31/01/2024,0.1,0,0,0.5,0.2,0.7,18.1,18.1,6,7.4
1/02/2024,0.1,0,0.1,0.1,0.3,0.4,22.3,17.5,7.3,6.3
2/02/2024,0.1,0.1,0.2,0.2,0.2,0.6,24.7,23.1,7.5,8.4
3/02/2024,0.1,0,0,,0.1,,39.2,36.7,12.2,12.3
4/02/2024,0.2,0.1,0.1,0.1,0.2,0.5,35.4,32.6,13.4,12.5
5/02/2024,0.2,0.1,0.1,0.1,0.3,0.9,39.5,34.7,16.8,14.8
6/02/2024,0,0.1,0,0.2,0.2,0.5,17.2,12.1,5,5
7/02/2024,0,0.1,0,,0.2,,19.9,21,5.8,7.4
8/02/2024,0,0.1,0,0.4,0.1,0.7,16.2,19.2,4.6,5.9
9/02/2024,0.1,0,0.1,0.3,0.4,0.6,17.9,17.6,4,5.3
10/02/2024,0,0.1,0,0.2,0,0.4,24.4,21.2,7.1,8.1
11/02/2024,0.1,0,0,0.1,0.1,0.2,24,22.7,6.6,5.4
12/02/2024,0.1,0,0.1,0.1,0.3,0.4,23.1,20,6.6,5.5
13/02/2024,0.2,0,0.1,0.6,0.3,1.1,27.8,19.7,8.1,7.1
14/02/2024,0.1,0,0.3,0.3,0.6,0.6,25.2,16.1,7.8,6.4
15/02/2024,0.1,0,0,0.4,0.3,0.8,20.1,13.4,7,2.9
16/02/2024,0.1,0,0.1,0.2,0.4,0.6,18.2,18.1,6.2,7.6
17/02/2024,0.1,0.1,0,,0.2,,19.9,16.2,5.9,6.8
18/02/2024,0.2,0,0.2,0.1,0.5,0.5,16.4,17.3,6.2,7.8
19/02/2024,0.1,0,0.1,0.3,0.7,1,16.2,15.6,6.3,6.1
20/02/2024,0.1,0.1,0.1,0.4,0.5,0.7,12.1,12.8,3.4,3.4
21/02/2024,0.1,0,0.1,0.2,0.5,0.6,9.9,9.2,2.3,3.2
22/02/2024,0.2,0.2,0.7,0.4,0.7,0.7,15.5,15.6,5.5,7.5
23/02/2024,0.2,0.1,0.4,0.5,1,0.9,25.3,25.4,10.3,12.6
24/02/2024,0,0,0,0.1,0.2,0.3,21.3,15.8,5.4,4.5
25/02/2024,0.1,0,0.1,0,0.5,0.3,15.4,14.3,5.6,5
26/02/2024,0.4,0,0.7,0.6,0.7,0.6,23.7,24.5,8.3,8.9
27/02/2024,0.1,0,0,0.3,0.2,0.7,25.3,19.1,6.2,4.5
28/02/2024,0.1,0,0,0.2,0.2,0.5,25.1,20,6.4,7
29/02/2024,0.2,0.1,0.1,0.3,0.5,0.9,35.7,25.6,11.7,10.4
1/03/2024,0.4,0,0,0.1,0.7,0.6,35.1,36.7,12.4,17.3
2/03/2024,0.1,0,0,0.1,0.5,0.6,25.3,21.9,10.2,8.3
3/03/2024,0.1,0,0.1,0.1,0.4,0.3,22.4,16.7,6.4,8.7
4/03/2024,0,0,0,0,0.1,0.4,27.4,28.7,6.9,8.5
5/03/2024,0.1,0.1,0.4,0.1,0.4,0.5,21.8,21.3,6.1,6.8
6/03/2024,0.3,0.2,0.3,0.6,0.4,0.8,25.2,25.8,7.4,8.8
7/03/2024,0.1,0.1,0.3,0.4,0.3,0.8,35.1,35.1,9.9,12.6
8/03/2024,0.1,0.1,0.1,0.1,0.4,0.5,18.4,18.3,5.6,6.7
9/03/2024,0.1,0.1,0.2,0.2,0.4,0.5,14.1,16.7,3.7,6.3
10/03/2024,0.1,0,0.1,0.1,0.3,0.4,17.8,16.3,5.7,6.2
11/03/2024,0.1,0.1,0.2,0.4,0.3,0.5,19.4,18.9,4.5,5.4
12/03/2024,0.3,0.1,0.3,0.6,0.9,1,29.6,23.4,7.6,7.4
13/03/2024,0.1,0,0,0.4,0.3,1.1,21,32.1,6,10.6
14/03/2024,0.1,0.1,0.2,0.4,0.5,0.9,26.5,37.6,11.1,20.8
15/03/2024,0,0,0,,0.1,,19.1,14.1,4.2,3.8
16/03/2024,0,0,0,0.1,0.1,0.5,11.5,12.3,3.4,3.5
17/03/2024,0.1,0,0.1,0.1,0.3,0.5,7.9,8,2.1,2.7
18/03/2024,0.1,0.1,0.4,0.3,0.6,0.8,11.5,13,3.7,5.2
19/03/2024,0.2,0.1,0.3,0.3,0.6,0.7,17.6,16.6,4.1,6.1
20/03/2024,0.2,0,0.8,0.8,0.8,0.8,22.6,21.5,8.6,7.8
21/03/2024,0,0,0,,0.1,,19.7,18.1,2.5,6.6
22/03/2024,0.1,0,1,,0.8,,17.4,17.1,4.2,4.9
23/03/2024,0.2,0.1,0.5,,0.6,,17.4,20.2,5.4,5.8
24/03/2024,0.3,0.1,0.2,,0.6,,15,14.8,7.3,7.8
25/03/2024,0.2,0,0.7,,1.1,,21.3,18.7,10.2,8.4
